name, area, area_bbox, area_convex, area_filled, axis_major_length, area_minor_length, bbox1, bbox2, bbox3, bbox4, bbox5, bbox6, centroid1, centroid2, centroid3, centroid_local1, centroid_local2, centroid_local3, mean(coords_scaled), std(coords_scaled), mean(coords), std(coords), equivalent_diameter_area, euler_number, extent, mean(image), std(image), mean(image_convex), std(image_convex), mean(image_filled), std(image_filled), mean(inertia_tensor), std(inertia_tensor), intertia_tensor_eigvals1, intertia_tensor_eigvals2, intertia_tensor_eigvals3, label, mean(moments), std(moments), mean(moments_central), std(moments_central), mean(moments_normalized), std(moments_normalized), num_pixels, slice1, slice2, slice3, slice4, slice5, slice6, slice7, slice8, slice9, solidity
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (10)_color_threshold_idx_1_chunck_7_region_29_labels_1_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:170.5, 8:132.0009469663002, 9:170.0, 10:132.0, 11:0.0, 12:0.0, 13:170.0, 14:132.0, 15:170.0, 16:132.0, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:2333, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:97.42857142857143, 39:130.67501361650386, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (28)_color_threshold_idx_1_chunck_15_region_-1_labels_-1_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:303.0, 8:71.50174823037545, 9:302.5, 10:71.5, 11:0.0, 12:0.0, 13:302.5, 14:71.5, 15:302.5, 16:71.5, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:2108, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:173.14285714285714, 39:159.3902923835779, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (28)_color_threshold_idx_1_chunck_18_region_-1_labels_-1_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:375.5, 8:66.00189391222042, 9:375.0, 10:66.0, 11:0.0, 12:0.0, 13:375.0, 14:66.0, 15:375.0, 16:66.0, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:936, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:214.57142857142858, 39:192.40571504940664, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (29)_color_threshold_idx_1_chunck_2_region_1_labels_0_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:363.0, 8:41.50301193889427, 9:362.5, 10:41.5, 11:0.0, 12:0.0, 13:362.5, 14:41.5, 15:362.5, 16:41.5, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:3690, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:207.42857142857142, 39:182.35746460718076, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (3)_color_threshold_idx_1_chunck_1_region_13_labels_0_G.png, 1:2.0, 2:2.0, 3:2.0, 4:2.0, 5:2.0, 6:0.0, 7:267.75, 8:95.75326365195079, 9:267.25, 10:95.75, 11:0.25, 12:0.25, 13:267.25, 14:95.75065273928946, 15:267.25, 16:95.75065273928946, 17:1.5957691216057308, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0625, 27:0.10825317547305482, 28:0.125, 29:0.125, 30:1513, 31:0.3125, 32:0.582961190818051, 33:0.15625, 34:0.4911323014219285, 35:0, 36:0, 37:2, 38:153.0, 39:150.98344280085814, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (30)_color_threshold_idx_0_chunck_5_region_80_labels_1_G.png, 1:2.0, 2:2.0, 3:2.0, 4:2.0, 5:2.0, 6:0.0, 7:224.25, 8:152.25205253132057, 9:223.75, 10:152.25, 11:0.25, 12:0.25, 13:223.75, 14:152.25041050847778, 15:223.75, 16:152.25041050847778, 17:1.5957691216057308, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0625, 27:0.10825317547305482, 28:0.125, 29:0.125, 30:3868, 31:0.3125, 32:0.582961190818051, 33:0.15625, 34:0.4911323014219285, 35:0, 36:0, 37:2, 38:128.14285714285714, 39:159.87980178999524, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (31)_color_threshold_idx_2_chunck_-1_region_49_labels_0_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:245.5, 8:141.00088652203573, 9:245.0, 10:141.0, 11:0.0, 12:0.0, 13:245.0, 14:141.0, 15:245.0, 16:141.0, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:19838, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:140.28571428571428, 39:161.6192300136468, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (32)_color_threshold_idx_0_chunck_-1_region_-1_labels_-1_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:441.5, 8:88.00142044308149, 9:441.0, 10:88.0, 11:0.0, 12:0.0, 13:441.0, 14:88.0, 15:441.0, 16:88.0, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:599, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:252.28571428571428, 39:228.38858758435262, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (32)_color_threshold_idx_1_chunck_27_region_-1_labels_-1_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:199.5, 8:23.005434140654682, 9:199.0, 10:23.0, 11:0.0, 12:0.0, 13:199.0, 14:23.0, 15:199.0, 16:23.0, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:454, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:114.0, 39:100.24683821162925, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (33)_color_threshold_idx_2_chunck_9_region_98_labels_3_G.png, 1:3.0, 2:3.0, 3:3.0, 4:3.0, 5:3.265986323710904, 6:0.0, 7:681.0, 8:94.50661352519198, 9:680.5, 10:94.5, 11:0.5, 12:0.5, 13:680.5, 14:94.50176365197284, 15:680.5, 16:94.50176365197284, 17:1.9544100476116797, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.16666666666666666, 27:0.2886751345948129, 28:0.3333333333333333, 29:0.3333333333333333, 30:108943, 31:1.25, 32:2.48746859276655, 33:0.3125, 34:0.8454843286542927, 35:0, 36:0, 37:3, 38:389.14285714285717, 39:344.4964974200665, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (34)_color_threshold_idx_1_chunck_0_region_37_labels_0_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:473.5, 8:78.00160254764, 9:473.0, 10:78.0, 11:0.0, 12:0.0, 13:473.0, 14:78.0, 15:473.0, 16:78.0, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:11259, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:270.57142857142856, 39:241.62654604803265, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (35)_color_threshold_idx_1_chunck_3_region_1_labels_0_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:419.0, 8:268.50046554894465, 9:418.5, 10:268.5, 11:0.0, 12:0.0, 13:418.5, 14:268.5, 15:418.5, 16:268.5, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:6435, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:239.42857142857142, 39:290.1555529331796, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (36)_color_threshold_idx_1_chunck_15_region_207_labels_1_G.png, 1:2.0, 2:2.0, 3:2.0, 4:2.0, 5:2.0, 6:0.0, 7:393.75, 8:237.7513144022552, 9:393.25, 10:237.75, 11:0.25, 12:0.25, 13:393.25, 14:237.75026288103237, 15:393.25, 16:237.75026288103237, 17:1.5957691216057308, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0625, 27:0.10825317547305482, 28:0.125, 29:0.125, 30:17660, 31:0.3125, 32:0.582961190818051, 33:0.15625, 34:0.4911323014219285, 35:0, 36:0, 37:2, 38:225.0, 39:265.0832753252133, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (36)_color_threshold_idx_2_chunck_4_region_1_labels_1_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:105.0, 8:54.502293529722216, 9:104.5, 10:54.5, 11:0.0, 12:0.0, 13:104.5, 14:54.5, 15:104.5, 16:54.5, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:15269, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:60.0, 39:66.31311010221562, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (37)_color_threshold_idx_1_chunck_11_region_-1_labels_-1_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:325.5, 8:63.00198409574099, 9:325.0, 10:63.0, 11:0.0, 12:0.0, 13:325.0, 14:63.0, 15:325.0, 16:63.0, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:2204, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:186.0, 39:167.9736373873676, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (38)_color_threshold_idx_1_chunck_4_region_61_labels_1_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:233.0, 8:116.50107295643247, 9:232.5, 10:116.5, 11:0.0, 12:0.0, 13:232.5, 14:116.5, 15:232.5, 16:116.5, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:26396, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:133.14285714285714, 39:145.08955714260327, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (39)_color_threshold_idx_1_chunck_1_region_10_labels_0_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:513.0, 8:56.50221234606659, 9:512.5, 10:56.5, 11:0.0, 12:0.0, 13:512.5, 14:56.5, 15:512.5, 16:56.5, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:49089, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:293.14285714285717, 39:257.43705392715685, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (4)_color_threshold_idx_1_chunck_10_region_46_labels_1_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:231.5, 8:31.00403199585499, 9:231.0, 10:31.0, 11:0.0, 12:0.0, 13:231.0, 14:31.0, 15:231.0, 16:31.0, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:10632, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:132.28571428571428, 39:116.93553081654412, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (40)_color_threshold_idx_2_chunck_1_region_1_labels_1_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:578.5, 8:19.00657780874821, 9:578.0, 10:19.0, 11:0.0, 12:0.0, 13:578.0, 14:19.0, 15:578.0, 16:19.0, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:143496, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:330.57142857142856, 39:286.64356021415324, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (41)_color_threshold_idx_2_chunck_3_region_54_labels_0_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:429.0, 8:170.5007331362537, 9:428.5, 10:170.5, 11:0.0, 12:0.0, 13:428.5, 14:170.5, 15:428.5, 16:170.5, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:26462, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:245.14285714285714, 39:248.36058381280378, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (42)_color_threshold_idx_1_chunck_6_region_115_labels_1_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:246.0, 8:155.50080385644313, 9:245.5, 10:155.5, 11:0.0, 12:0.0, 13:245.5, 14:155.5, 15:245.5, 16:155.5, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:12499, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:140.57142857142858, 39:169.22669254401848, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (42)_color_threshold_idx_2_chunck_10_region_114_labels_2_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:381.0, 8:229.50054466166307, 9:380.5, 10:229.5, 11:0.0, 12:0.0, 13:380.5, 14:229.5, 15:380.5, 16:229.5, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:5765, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:217.71428571428572, 39:256.21682463197027, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (43)_color_threshold_idx_0_chunck_4_region_13_labels_1_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:198.0, 8:151.50082508026154, 9:197.5, 10:151.5, 11:0.0, 12:0.0, 13:197.5, 14:151.5, 15:197.5, 16:151.5, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:2100, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:113.14285714285714, 39:150.7205821298174, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (44)_color_threshold_idx_1_chunck_3_region_74_labels_0_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:427.0, 8:173.50072045959925, 9:426.5, 10:173.5, 11:0.0, 12:0.0, 13:426.5, 14:173.5, 15:426.5, 16:173.5, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:21481, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:244.0, 39:248.70349529395153, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (45)_color_threshold_idx_1_chunck_15_region_110_labels_3_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:434.5, 8:19.00657780874821, 9:434.0, 10:19.0, 11:0.0, 12:0.0, 13:434.0, 14:19.0, 15:434.0, 16:19.0, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:8661, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:248.28571428571428, 39:215.5012192777667, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (45)_color_threshold_idx_1_chunck_2_region_-1_labels_-1_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:307.5, 8:110.00113635776678, 9:307.0, 10:110.0, 11:0.0, 12:0.0, 13:307.0, 14:110.0, 15:307.0, 16:110.0, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:5542, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:175.71428571428572, 39:173.4100955091421, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (46)_color_threshold_idx_0_chunck_6_region_26_labels_3_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:336.5, 8:27.004629232781554, 9:336.0, 10:27.0, 11:0.0, 12:0.0, 13:336.0, 14:27.0, 15:336.0, 16:27.0, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:21690, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:192.28571428571428, 39:167.77085928280212, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (46)_color_threshold_idx_1_chunck_5_region_30_labels_1_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:149.0, 8:67.50185182644992, 9:148.5, 10:67.5, 11:0.0, 12:0.0, 13:148.5, 14:67.5, 15:148.5, 16:67.5, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:829, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:85.14285714285714, 39:89.66991623477196, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (47)_color_threshold_idx_1_chunck_11_region_55_labels_1_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:208.5, 8:51.00245092149984, 9:208.0, 10:51.0, 11:0.0, 12:0.0, 13:208.0, 14:51.0, 15:208.0, 16:51.0, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:1268, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:119.14285714285714, 39:110.1485082856369, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (48)_color_threshold_idx_2_chunck_7_region_4_labels_3_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:350.5, 8:39.003204996512785, 9:350.0, 10:39.0, 11:0.0, 12:0.0, 13:350.0, 14:39.0, 15:350.0, 16:39.0, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:43899, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:200.28571428571428, 39:175.94050478639022, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (49)_color_threshold_idx_2_chunck_2_region_-1_labels_-1_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:159.5, 8:57.002192940272046, 9:159.0, 10:57.0, 11:0.0, 12:0.0, 13:159.0, 14:57.0, 15:159.0, 16:57.0, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:1722, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:91.14285714285714, 39:89.92763530659934, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (5)_color_threshold_idx_1_chunck_1_region_-1_labels_-1_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:431.0, 8:87.50142855976695, 9:430.5, 10:87.5, 11:0.0, 12:0.0, 13:430.5, 14:87.5, 15:430.5, 16:87.5, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:13743, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:246.28571428571428, 39:223.31061921247996, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (50)_color_threshold_idx_0_chunck_5_region_9_labels_1_G.png, 1:2.0, 2:2.0, 3:2.0, 4:2.0, 5:2.0, 6:0.0, 7:313.25, 8:68.75454530429244, 9:312.75, 10:68.75, 11:0.25, 12:0.25, 13:312.75, 14:68.75090908489865, 15:312.75, 16:68.75090908489865, 17:1.5957691216057308, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0625, 27:0.10825317547305482, 28:0.125, 29:0.125, 30:1754, 31:0.3125, 32:0.582961190818051, 33:0.15625, 34:0.4911323014219285, 35:0, 36:0, 37:2, 38:179.0, 39:163.49923547221866, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (50)_color_threshold_idx_0_chunck_9_region_9_labels_3_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:342.5, 8:33.0037876614185, 9:342.0, 10:33.0, 11:0.0, 12:0.0, 13:342.0, 14:33.0, 15:342.0, 16:33.0, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:18244, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:195.71428571428572, 39:171.31984647412676, 40:1.0, 
C:/Users/windows/Documents/Tcc_Gabi/Ultrasound/DatasetDecomposite/normal/normal (51)_color_threshold_idx_1_chunck_10_region_65_labels_2_G.png, 1:1.0, 2:1.0, 3:1.0, 4:1.0, 5:0.0, 6:0.0, 7:360.0, 8:27.504545078950134, 9:359.5, 10:27.5, 11:0.0, 12:0.0, 13:359.5, 14:27.5, 15:359.5, 16:27.5, 17:1.1283791670955126, 18:1.0, 19:1.0, 20:1.0, 21:0.0, 22:1.0, 23:0.0, 24:1.0, 25:0.0, 26:0.0, 27:0.0, 28:0.0, 29:0.0, 30:46093, 31:0.0625, 32:0.24206145913796356, 33:0.0625, 34:0.24206145913796356, 35:0, 36:0, 37:1, 38:205.71428571428572, 39:179.36293157865646, 40:1.0, 
